  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, ABR
-101.13,20.52,GTO,PERGJ,PERICOS,0
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,0
-100.5,21.22,GTO,POZGJ,POZOS,0
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,0
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,1
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,0
-100.39,21,GTO,SJPGJ,SAN J. PAN DE ARRIBA,0
-101.2,20.57,GTO,SLMGJ,SALAMANCA,0
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,1.8
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,0
-100.82,20.05,GTO,SLSGJ,P. SOLIS,0
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,0
-101.07,20.3,GTO,SRTGJ,SANTA RITA,0
-100.75,20.28,GTO,TARGJ,TARIMORO,0
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,0
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,0
-101.37,20.74,GTO,TPCGJ,TEPALCATES,2
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,0
-100.09,21.3,GTO,XICGJ,XICHU,0
-101.02,20.27,GTO,YRDGJ,"YURIRIA CANAL ALIMENTADOR, AUTOM.",0
-98.94,20.27,HGO,ACTHD,ACTOPAN,22.2
-98.33,21.02,HGO,ATCHD,ATLAPESCO,9.5
-99.36,20.16,HGO,ENDHD,PRESA ENDO,13
-99.63,20.36,HGO,HCPHD,HUICHAPAN,5
-98.42,21.15,HGO,HJTHD,HUEJUTLA,16
-99.22,20.48,HGO,IXMHD,IXMIQUILPAN,2.5
-99.18,21.08,HGO,LMTHD,MEZTITLAN,0
-99.22,20.24,HGO,MXQHD,MIXQUIAHUALA,7
